lfd.;Wirtschaftseinheit;Segment - Liegenschaft;Art der Wärmeversorgung;Wärmeverbrauch;Wärmeverbrauch witterungsbereinigt;Stromverbrauch
374;Pfalzburger Str. 30;Schulen ;Fernwärme;702793;784111;253983
375;Prinzregentenstr. 32,35;Schulen ;Fernwärme;697802;778542;150039
376;Prinzregentenstr. 60;Schulen ;Fernwärme;1042406;1163019;250214
377;Rheinsberger Str. 4-5;Schulen ;Gas;1281017;1429240;65297
378;Rudower Str. 184;Schulen ;Gas;1747708;1949929;729453
379;Scharfenberg (Insel);Schulen ;Gas;2173101;2424543;259063
380;Schillerstr. 120;Schulen ;Fernwärme;709728;791848;279093
381;Schwyzer Str. 6-8;Schulen ;Fernwärme;1373300;1532200;905055
382;Steinmetzstr. 79;Schulen ;Fernwärme;907951;1013007;57414
383;Straßmannstr. 14-16;Schulen ;Fernwärme;947658;1057308;173023
384;Teltower Damm 87-101 (ungerade);Schulen ;Gas;8161947;9106339;1077075
385;Wollenbergerstr. 1;Schulen ;Fernwärme;20943;233662;1163112
386;Wrangelstr. 98;Schulen ;Fernwärme;3159390;3524952;473323
