Sanierungsfahrplan SILB gemäß Berliner Klimaschutz- und Energiewendegesetz (EWG Bln);;;;;;;;5/4/22
;;;;;;;;
"Gebäude
Nr.";Adresse;"Gebäude-
bezeichnung";PLZ;"Netto-
raum-
fläche m²";Denkmal-schutz;"Priorisierung
für weitere Sanierungs-
planungen";Einspar-potenzial Endenergie;"Grobkosten-schätzung
EURO
brutto"
30467002;Zum Heckeshorn 30;Haus B ;14109;1.069;nein;69;40-50%;763.772
30470003;Eschenallee 3;Haus 02 ;14050;2.528;ja;70;20-30%;914.394
30372001;Am Köllnischen Park 4 ;Haus 01 ;10179;5.280;ja;71;30-40%;2.713.856
30341002;Gendarmenmarkt 3-4;Funktionsgebäude ;10117;21.854;ja;72;30-40%;11.076.693
30470002;Eschenallee 3;Haus 01a ;14050;361;ja;73;40-50%;170.616
30470007;Eschenallee 3;Haus 06 ;14050;1.208;nein;74;20-30%;437.203
30472014;Fröbelstr. 17;Lager ;10405;621;ja;75;40-50%;234.597
30470006;Eschenallee 3;Haus 05 ;14050;485;nein;76;20-30%;175.947
30472013;Fröbelstr. 17;Turnhalle ;10405;584;ja;77;50-60%;262.588
30470001;Eschenallee 3;Haus 01 ;14050;2.479;ja;78;10-20%;501.184
30470005;Eschenallee 3;Haus 04 ;14050;650;nein;79;> 60%;619.815
30442001;Blücherplatz 1 ;Haus 01 ;10961;8.587;ja;80;50-60%;6.551.377
30359002;Herbert-von-Karajan-Str. 1;Haus 02 ;10785;21.794;ja;81;> 60%;12.477.608
30417004;Gierkeplatz 1,3;Haus 04 ;10585;581;ja;82;30-40%;243.927
30127001;Hermann-Hesse-Str. 34,36;Haus 01 ;13156;2.533;nein;83;> 60%;1.299.612
30375001;Nikolaikirchplatz 1 ;Haus 01 ;10178;4.203;ja;84;10-20%;783.766
30351005;Friedrich-Olbricht-Damm 40;Zellengebäude 8 ;13627;5.686;ja;85;30-40%;2.098.040
30335002;Möckernstr. 26;Ladestraße ;10963;12.104;ja;86;40-50%;6.567.372
30007001;Alt-Friedrichsfelde 60;Haus 01 ;10315;25.900;nein;87;30-40%;20.020.689
30344002;Trebbiner Str. 8-9;Neubau ;10963;28.363;nein;88;20-30%;13.398.666
30344003;Trebbiner Str. 8-9;Lokschuppen ;10963;8.703;ja;89;50-60%;5.631.652
30348001;Saatwinkler Damm 1A;Neubau ;13627;6.751;ja;90;20-30%;1.648.841
30334001;Hinter dem Gießhaus 2;"Probebühne + 
Verwaltung ";10117;2.483;ja;91;30-40%;1.424.908
30341001;Gendarmenmarkt 3-4;Konzerthaus ;10117;15.205;ja;92;30-40%;7.672.376
30119001;Bismarckstr. 20;Haus 01 ;10625;12.639;nein;93;50-60%;7.524.420
30409001;Wrangelstr. 98;Haus 01 ;10997;14.493;nein;94;40-50%;8.249.537
30367001;Klosterstr. 68 ;Haus 01 ;10179;5.614;ja;95;40-50%;3.465.632
30343001;Prenzlauer Allee 80;ZGP ;10405;6.724;nein;96;20-30%;3.626.917
30344005;Trebbiner Str. 8-9;Brauerei ;10963;505;ja;97;30-40%;170.616
30344001;Trebbiner Str. 8-9;Altbau ;10963;9.163;ja;98;20-30%;4.842.554
30359001;Herbert-von-Karajan-Str. 1;Haus 01 ;10785;23.243;ja;99;20-30%;9.781.079
30127002;Hermann-Hesse-Str. 34,36;Haus 02 ;13156;290;nein;100;> 60%;431.871
30139001;Prinzregentenstr. 60;Haus 01 ;10715;12.626;nein;101;> 60%;5.234.437
30371001;Am Köllnischen Park 5 ;Haus 01 ;10179;9.419;ja;102;40-50%;5.078.484
