Sanierungsfahrplan SILB gemäß Berliner Klimaschutz- und Energiewendegesetz (EWG Bln);;;;;;;;5/4/22
;;;;;;;;
"Gebäude
Nr.";Adresse;"Gebäude-
bezeichnung";PLZ;"Netto-
raum-
fläche m²";Denkmal-schutz;"Priorisierung
für weitere Sanierungs-
planungen";Einspar-potenzial Endenergie;"Grobkosten-schätzung
EURO
brutto"
30335001;Möckernstr. 26;Spektrum ;10963;2.717;ja;272;40-50%;1.025.027
30200003;Hauptstr. 45;Haus 03 ;10827;277;ja;273;20-30%;90.640
30222002;Alemannenstr. 10;Haus B ;14129;1.186;ja;274;30-40%;490.520
30055001;Osloer Str. 37;Haus 01 ;13359;9.605;nein;275;50-60%;6.002.208
30195018;Friesenstr. 16;Haus 10 ;10965;12.261;ja;276;20-30%;4.603.959
30215002;Rudolstädter Str. 79,85;Haus 02 ;10713;4.221;nein;277;50-60%;2.377.957
30196017;Gallwitzallee 87,95;Haus 17 + Kantine ;12249;3.768;nein;278;50-60%;1.926.092
30168005;Nikolaus-Groß-Weg 2;Haus 05 ;13627;832;nein;279;> 60%;1.355.595
30188001;Bayernring 44;Haus 01 ;12101;5.561;nein;280;50-60%;3.645.578
30379005;Ollenhauerstr. 128;Haus 05 ;13403;284;nein;281;> 60%;318.572
30416005;Danckelmannstr. 25-28;Haus 06 ;14059;3.999;nein;282;20-30%;2.004.735
30340001;Fasanenstr. 23;Literaturhaus ;10719;1.323;ja;283;20-30%;713.120
30410001;Buschallee 23a;Haus 01 ;13088;1.393;nein;284;> 60%;670.466
30075015;Turmstr. 21;Haus P ;10559;593;ja;285;40-50%;425.206
30423002;Fritz-Lesch-Str. 35;Haus 02 ;13053;1.968;nein;286;40-50%;1.672.834
30196018;Gallwitzallee 87,95;Haus 15 ;12249;582;nein;287;> 60%;461.196
30380002;Arkonastr. 56;Bauteil 2 ;13189;3.349;nein;288;50-60%;1.839.451
30195041;Friesenstr. 16;Haus 31 ;10965;4.233;ja;289;40-50%;1.756.809
30137002;Prinzregentenstr. 32,35;Haus 01 ;10715;2.926;nein;290;20-30%;3.740.217
30423001;Fritz-Lesch-Str. 35;Haus 02 ;13053;6.697;nein;291;50-60%;5.422.381
30081001;Brunnenplatz 1;Haus 01 ;13357;12.585;ja;292;20-30%;4.490.659
30438001;Stresemannstr. 29-31 ;Haus 01 ;10963;4.587;ja;293;30-40%;2.222.003
30129001;Klixstr. 6-7;Haus 01 ;10823;6.372;nein;294;50-60%;4.513.319
30426004;Scharfenberg (Insel);Haus 04 ;13505;1.414;ja;295;50-60%;730.449
30407008;Lobeckstr. 76;Haus 08 ;10969;1.042;nein;296;50-60%;625.147
30131002;Lippstädter Str. 9-11;Haus 02 ;12207;3.198;nein;297;50-60%;3.115.070
30338001;Albrechtstr. 20;"Neue Probebühne, 
Verwaltung ";10117;2.674;ja;298;20-30%;1.101.005
30196011;Gallwitzallee 87,95;Haus 10 + 10a ;12249;2.570;nein;299;> 60%;1.380.921
30133003;Nonnendammallee 140-143;Haus 03 ;13599;2.014;nein;300;20-30%;2.756.510
30412002;Driesener Str. 22;Haus 02 ;10439;3.403;ja;301;30-40%;1.380.921
30196002;Gallwitzallee 87,95;Haus 02 ;12249;2.269;nein;302;> 60%;1.736.815
30412001;Driesener Str. 22;Haus 01 ;10439;3.384;ja;303;30-40%;1.378.255
30379001;Ollenhauerstr. 128;Haus 01 ;13403;1.706;nein;304;50-60%;1.167.651
30407005;Lobeckstr. 76;Haus 05 ;10969;2.572;ja;305;50-60%;2.004.735
30397002;Naglerstr. 1-3;Haus B;10245;5.521;ja;306;50-60%;2.632.547
30186003;Augustaplatz 7;Haus 13 ;12203;932;ja;307;30-40%;383.885
30195049;Friesenstr. 16;Haus 44 ;10965;2.243;ja;308;40-50%;803.760
30252001;Kaiserdamm 1;Haus 01 ;14057;14.036;ja;309;30-40%;4.981.179
30205001;Kruppstr. 2-4;Haus 01 ;10557;6.723;ja;310;30-40%;2.455.267
30162001;Kirchhofstr. 20;Haus 01 ;12051;5.464;nein;311;40-50%;3.028.429
30420003;Darßer Str. 97;Haus 03 ;13051;5.436;nein;312;20-30%;4.489.326
30410002;Buschallee 23a;Haus 02 ;13088;1.348;nein;313;> 60%;667.801
30187002;Baumschulenstr. 1;Haus 02 ;12437;1.596;nein;314;50-60%;1.420.909
30368001;Chausseestr. 125 ;Haus 01 ;10115;1.539;ja;315;40-50%;579.827
30220006;Wedekindstr. 10;Haus 06 ;10243;2.371;ja;316;20-30%;773.102
30158001;Heinsestr. 24;Haus 01 ;13467;2.388;ja;317;30-40%;666.468
30448003;Parkaue 23-29 ;Haus 05 ;10367;604;nein;318;> 60%;462.529
30217001;Sonnenallee 107;Haus 01 ;12045;5.662;ja;319;30-40%;2.108.704
30220001;Wedekindstr. 10;Haus 01 ;10243;2.350;ja;320;30-40%;693.126
30077001;Alt-Moabit 5;Haus 01 ;10559;2.939;nein;321;> 60%;2.194.012
30168008;Nikolaus-Groß-Weg 2;Haus 08 ;13627;4.342;nein;322;> 60%;3.151.059
30168003;Nikolaus-Groß-Weg 2;Haus 03 ;13627;6.331;nein;323;> 60%;4.374.694
30448004;Parkaue 23-29 ;Haus 06 ;10367;944;nein;324;> 60%;638.476
30350006;Friedrich-Olbricht-Damm 17;Haus 06 ;13627;3.086;nein;325;40-50%;2.196.677
30445007;Breite Str. 30-37;Haus 07 ;10178;2.415;ja;326;50-60%;1.143.659
30220002;Wedekindstr. 10;Haus 02 ;10243;2.562;ja;327;40-50%;1.005.033
30158002;Heinsestr. 24;Haus 02 ;13467;424;ja;328;40-50%;175.947
30132001;Loschmidtstr. 19;Haus 01 ;10587;5.525;ja;329;20-30%;1.327.604
30205002;Kruppstr. 2-4;Haus 02/02a/03 ;10557;15.455;ja;330;30-40%;3.749.547
30124002;Florastr. 13;Haus 02 ;12163;617;nein;331;20-30%;466.527
30379002;Ollenhauerstr. 128;Haus 02 ;13403;648;nein;332;> 60%;589.157
30142001;Bernhard-Weiß-Str. 6;Haus 01 ;10178;57.657;ja;333;10-20%;17.654.728
30196010;Gallwitzallee 87,95;Haus 09 ;12249;1.051;nein;334;> 60%;795.762
30194013;Charlottenburger Chaussee 67,75;Haus 13a/b ;13597;3.849;nein;335;> 60%;1.792.798
30185003;Am Nordgraben 6,7,8;Haus 02 ;13437;3.340;nein;336;50-60%;2.128.698
30205015;Kruppstr. 2-4;Haus 14/14a ;10557;1.463;nein;337;> 60%;1.208.972
30213008;Radelandstr. 21;Haus 07a/b/c ;13589;18.826;nein;338;> 60%;8.550.780
30205008;Kruppstr. 2-4;Haus 08/09/09a ;10557;5.348;ja;339;50-60%;3.163.056
30170001;Rankestr. 10-12;Haus 01 ;10789;3.940;nein;340;50-60%;1.718.154
30445008;Breite Str. 30-37;Haus 08;10178;2.568;ja;341;30-40%;841.082
30415002;Mandelstr. 6-8;Haus 02 ;10409;1.091;ja;342;20-30%;259.922
30229002;Bismarckstr. 111;Haus 01 ;10625;3.532;nein;343;50-60%;2.032.726
30232001;Dönhoffstr. 30,31;Haus 01 ;10318;1.569;ja;344;40-50%;661.136
30118004;Am Fort 48 D;Haus 04 ;13591;258;nein;345;> 60%;245.260
30395005;Osloer Str. 23-26;Haus 05 ;13359;587;nein;346;40-50%;963.712
30216037;Ruppiner Chaussee 240,268;Haus 07 ;13503;5.584;ja;347;40-50%;2.066.050
30395002;Osloer Str. 23-26;Haus 02 ;13359;4.776;nein;348;> 60%;3.185.715
30417002;Gierkeplatz 1,3;Haus 02 ;10585;6.604;nein;349;20-30%;3.733.552
30271001;Schmidt-Knobelsdorf-Str. 27;Haus 01 ;13581;2.715;nein;350;40-50%;1.444.902
30395007;Osloer Str. 23-26;Haus 07 ;13359;711;nein;351;50-60%;750.443
30218001;Tempelhofer Damm 12;Haus 01 ;12101;67.859;nein;352;20-30%;44.590.686
30347001;Lehrter Str. 61;Haus 03;10557;5.254;ja;353;30-40%;2.062.051
30034001;Brunnenstr. 188-190;Haus 01 ;10119;16.808;ja;354;30-40%;7.344.474
30431002;Bismarckstr. 110 ;Haus 02 ;10625;1.399;ja;355;> 60%;830.419
30135001;Ostpreußendamm 40;Haus 01 ;12207;6.765;ja;356;30-40%;1.839.451
30414004;Gustav-Adolf-Str. 66;Haus 02 ;13086;7.977;nein;357;20-30%;4.156.092
30329001;Levetzowstr. 1-2;Haus 01 ;10555;4.448;ja;358;30-40%;2.351.298
30179001;Voltairestr. 2;Haus 01 ;10179;7.349;nein;359;10-20%;1.488.889
30054001;Nonnendammallee 21;Haus 01 ;13599;10.513;nein;360;40-50%;6.327.444
30286001;Wilmsstr. 19,20;Haus 01 ;10961;2.968;nein;361;30-40%;1.051.686
30133002;Nonnendammallee 140-143;Haus 02 ;13599;11.064;nein;362;30-40%;9.719.764
30396001;Niederwallstr. 6,7;Haus 01 ;10117;2.617;ja;363;30-40%;950.383
30402003;Dammweg 216;Haus 03,06,07 ;12057;572;nein;364;50-60%;391.883
30197003;Gothaer Str. 19;Querbau ;10823;3.378;ja;365;40-50%;1.338.267
30434002;Kurfürstendamm 153;Haus 02 ;10709;2.256;ja;366;> 60%;1.139.660
30352002;Kirchhainer Damm 64 - 66;Pforte ;12309;406;nein;367;30-40%;365.224
30277001;Siemensstr. 22;Haus 01 ;12459;580;ja;368;30-40%;334.567
30037002;Auf dem Grat 2;Haus 02 ;14195;451;nein;369;30-40%;507.848
30255001;Kronprinzessinnenweg 20;Haus 01 ;14109;3.498;nein;370;50-60%;2.504.585
30205017;Kruppstr. 2-4;Haus 15 ;10557;988;nein;371;> 60%;507.848
30409003;Wrangelstr. 98;Haus 03 ;10997;12.182;ja;372;30-40%;4.109.440
30075014;Turmstr. 21;Haus O ;10559;1.484;ja;373;30-40%;447.866
30427002;Alt-Moabit 10;Haus 02 ;10557;4.100;nein;374;30-40%;3.833.522
30093002;Mandrellaplatz 6;Haus 02 ;14057;455;ja;375;40-50%;194.609
30106001;Tegeler Weg 17-20;Haus 01 ;10589;23.965;ja;376;20-30%;5.934.228
30075005;Turmstr. 21;Haus E ;10559;2.638;ja;377;40-50%;866.408
30147001;Charlottenburger Str. 10,12;Haus 01 ;14169;5.386;nein;378;30-40%;3.405.650
30407003;Lobeckstr. 76;Haus 03 ;10969;2.612;nein;379;50-60%;1.083.676
30251001;Josef-Orlopp-Str. 69;Haus 01 ;10365;2.637;nein;380;40-50%;2.263.324
30195038;Friesenstr. 16;Haus 25, 25a ;10965;2.445;ja;381;> 60%;2.300.646
30279001;Südendstr. 18a;Haus 01 ;12169;1.320;ja;382;20-30%;335.900
30445003;Breite Str. 30-37;Haus 03 ;10178;7.263;ja;383;40-50%;3.151.059
30200001;Hauptstr. 45;Haus 01 ;10827;2.919;ja;384;40-50%;1.061.017
30168001;Nikolaus-Groß-Weg 2;Haus 01 ;13627;2.437;nein;385;50-60%;2.000.736
30281001;Wackenbergstr. 81;Haus 01 ;13156;2.438;nein;386;> 60%;1.162.320
30351012;Friedrich-Olbricht-Damm 40;offener Vollzug ;13627;692;nein;387;20-30%;453.198
30083001;Grunewaldstr. 66-67;Haus 01 ;10823;11.511;ja;388;20-30%;3.291.017
30216036;Ruppiner Chaussee 240,268;Haus 06 ;13503;5.708;ja;389;40-50%;2.139.361
30041002;Friedrich-Krause-Ufer 24,25;Haus 02 ;13353;6.697;nein;390;30-40%;2.340.634
30007002;Alt-Friedrichsfelde 60;Haus 02 ;10315;15.161;nein;391;30-40%;11.748.492
30205007;Kruppstr. 2-4;Haus 07 ;10557;700;ja;392;50-60%;442.535
30346003;Lützowstr. 45;"Wohngebäude,
Werkstatt ";12307;612;nein;393;30-40%;362.558
30346001;Lützowstr. 45;"Hauptgebäude,
Verwaltung ";12307;903;nein;394;> 60%;381.220
30194017;Charlottenburger Chaussee 67,75;Haus 16 ;13597;2.184;nein;395;> 60%;1.399.582
30260002;Marktstr. 13;Haus 02 ;10317;806;ja;396;30-40%;306.575
30392003;Rheinsberger Str. 4-5;Haus 03 ;10115;384;ja;397;50-60%;470.526
30195040;Friesenstr. 16;Haus 30 ;10965;1.644;ja;398;30-40%;953.049
30153001;Gravensteinstr. 9, 4-18;Haus 01 ;13127;2.165;nein;399;> 60%;1.863.444
30445005;Breite Str. 30-37;Haus 05 ;10178;3.227;ja;400;40-50%;1.419.576
30405002;Goldbeckweg 8-14;Haus 02 ;13599;4.762;nein;401;40-50%;3.335.004
30245002;Idastr. 6;Haus 02 ;13156;340;nein;402;30-40%;222.600
30195048;Friesenstr. 16;Haus 42 ;10965;7.900;ja;403;40-50%;5.422.381
30382001;Neuwedeller Str. 4;Haus 01 ;12053;1.405;nein;404;40-50%;1.038.357
30121001;Cyclopstr. 1-7;Haus 01 ;13469;29.263;nein;405;40-50%;16.547.059
30065001;Schloßstr. 58,59;Haus 01 ;12165;5.987;nein;406;50-60%;3.884.174
30420001;Darßer Str. 97;Haus 01 ;13051;6.955;nein;407;20-30%;5.455.704
30413002;Erich-Weinert-Str. 103;Haus 02 ;10409;3.193;nein;408;10-20%;743.778
30194012;Charlottenburger Chaussee 67,75;Haus 12 ;13597;410;nein;409;50-60%;263.921
30422006;Fischerstr. 36;Haus 01 ;10317;4.896;ja;410;50-60%;3.436.307
30196008;Gallwitzallee 87,95;Haus 08 ;12249;1.392;nein;411;> 60%;1.786.133
30196009;Gallwitzallee 87,95;Haus 08a ;12249;1.234;nein;412;> 60%;1.380.921
30195011;Friesenstr. 16;Haus 06 ;10965;4.308;ja;413;30-40%;1.995.404
30421002;Fischerstr. 32;Haus 02 ;10317;1.434;ja;414;10-20%;267.920
30410003;Buschallee 23a;Haus 03 ;13088;14.193;nein;415;20-30%;11.142.006
30259003;Märkische Allee 189;Haus 03 ;12681;870;nein;416;40-50%;977.042
30193002;Cecilienstr. 92;Haus 01- 04;12683;17.737;nein;417;50-60%;11.080.691
30205005;Kruppstr. 2-4;Haus 04/05 ;10557;10.581;ja;418;30-40%;3.548.274
30044001;Havelchaussee 149-151;Haus 01 ;14055;942;nein;419;50-60%;418.542
30195047;Friesenstr. 16;Haus 41a ;10965;758;ja;420;30-40%;311.907
30225001;Alt-Rudow 67,69;Haus 01 ;12355;692;nein;421;50-60%;659.803
30175002;Johannisthaler Chaussee 222;Haus 02 ;12351;365;nein;422;> 60%;405.212
30213002;Radelandstr. 21;Haus 02 ;13589;13.463;nein;423;> 60%;6.162.160
30193014;Cecilienstr. 92;Haus 10 ;12683;4.416;nein;424;50-60%;2.505.918
30383001;Kisselnallee 19;Haus 01 ;13589;2.466;nein;425;30-40%;1.419.576
30108003;Turmstr. 91;Haus 03 (B) ;10559;12.778;nein;426;30-40%;6.876.613
30395003;Osloer Str. 23-26;Haus 03 ;13359;5.854;nein;427;20-30%;1.980.742
30194019;Charlottenburger Chaussee 67,75;Haus 18 ;13597;3.609;nein;428;30-40%;1.935.422
30370001;Poststr. 23 ;Haus 01 ;10178;871;ja;429;20-30%;333.234
30405001;Goldbeckweg 8-14;Haus 01 ;13599;11.419;nein;430;40-50%;6.772.644
30196013;Gallwitzallee 87,95;Haus 11 ;12249;964;nein;431;> 60%;1.275.619
30406002;Alt-Stralau 40-41;Haus 02 ;13599;1.152;nein;432;20-30%;1.392.917
30093001;Mandrellaplatz 6;Haus 01 ;12555;5.744;ja;433;20-30%;1.995.404
30421001;Fischerstr. 32;Haus 01 ;10317;3.486;nein;434;20-30%;2.532.577
30089001;Karl-Marx-Str. 77;Haus 01 ;12043;9.175;ja;435;20-30%;3.442.972
30259001;Märkische Allee 189;Haus 01 ;12681;531;nein;436;50-60%;706.456
30168002;Nikolaus-Groß-Weg 2;Haus 02 ;13627;2.444;nein;437;50-60%;2.222.003
30196006;Gallwitzallee 87,95;Haus 06 ;12249;1.260;nein;438;> 60%;1.795.464
30244001;Heinrich-Grüber-Str. 35;Haus 01 ;12621;1.892;nein;439;20-30%;839.749
30413001;Erich-Weinert-Str. 103;Haus 01 ;10409;4.549;nein;440;40-50%;2.523.247
30239001;Goethestr. 7;Haus 01 ;12207;1.828;ja;441;40-50%;1.307.610
30041001;Friedrich-Krause-Ufer 24,25;Haus 01 ;13353;9.424;ja;442;40-50%;5.129.135
30445001;Breite Str. 30-37;Haus 01 ;10178;2.664;ja;443;30-40%;1.025.027
30071002;Tempelhofer Damm 234;Haus 02 ;12099;5.317;nein;444;30-40%;3.697.563
30084001;Hardenbergstr. 31;Haus 01 ;10623;13.793;ja;445;20-30%;4.921.197
30266001;Pablo-Picasso-Str. 4;Haus 01 ;13057;4.606;nein;446;40-50%;2.772.505
30130002;Kochstr. 9;Haus 02 ;10969;701;nein;447;30-40%;863.742
30090001;Kissingenstr. 5,6;Haus 01 ;13189;6.611;ja;448;30-40%;2.401.949
30194020;Charlottenburger Chaussee 67,75;Haus 19 ;13597;8.662;nein;449;50-60%;5.525.017
30335003;Möckernstr. 26;Ladestraße mit Ruine ;10963;3.350;ja;450;50-60%;1.310.275
30412003;Driesener Str. 22;Haus 03 ;10439;1.075;ja;451;30-40%;422.541
30351015;Friedrich-Olbricht-Damm 40;GaLa-Bau;13627;803;ja;452;20-30%;190.610
30194023;Charlottenburger Chaussee 67,75;Haus 22 ;13597;601;nein;453;> 60%;327.902
30445006;Breite Str. 30-37;Haus 06 ;10178;2.272;ja;454;40-50%;1.062.349
30197001;Gothaer Str. 19;Altbau ;10823;10.724;ja;455;30-40%;4.094.777
30148001;Dorfstr. 4;Haus 01 ;13059;1.063;nein;456;50-60%;582.493
30200002;Hauptstr. 45;Haus 02 ;10827;1.066;ja;457;20-30%;775.768
30156003;Hauptstr. 14;Haus 03 ;13159;357;ja;458;40-50%;289.247
30415001;Mandelstr. 6-8;Haus 01 ;10409;8.251;ja;459;30-40%;1.744.812
30391001;Allee der Kosmonauten 18;Haus 01 ;10315;3.464;nein;460;30-40%;2.717.855
30165001;Mädewalder Weg 21,23;Haus 01 ;12621;741;nein;461;> 60%;473.192
30046001;Klosterstr. 47;Haus 01 ;10179;41.641;ja;462;20-30%;22.407.976
30391003;Allee der Kosmonauten 18;Haus 03 ;10315;1.501;nein;463;30-40%;1.970.078
30263001;Nipkowstr. 23;Haus 01 ;12489;1.844;nein;464;> 60%;1.046.354
30101001;Ringstr. 9;Haus 01 ;12203;6.460;ja;465;20-30%;2.477.927
30170002;Rankestr. 10-12;Haus 02 ;10789;325;nein;466;50-60%;313.240
30448002;Parkaue 23-29 ;Haus 04 ;10367;321;ja;467;> 60%;334.567
30195015;Friesenstr. 16;Haus 09 ;10965;802;ja;468;30-40%;307.908
30244006;Heinrich-Grüber-Str. 35;Haus 06 ;12621;1.804;nein;469;> 60%;1.102.338
30150001;Feurigstr. 58;Haus 01 ;10827;4.872;ja;470;30-40%;1.603.521
30196031;Gallwitzallee 87,95;Haus 27 ;12249;347;nein;471;> 60%;358.560
30391004;Allee der Kosmonauten 18;Haus 04 ;10315;3.434;nein;472;30-40%;1.987.407
30194009;Charlottenburger Chaussee 67,75;Haus 09 ;13597;714;nein;473;> 60%;1.156.988
30227001;Wiener Str. 64;Haus 01 ;10999;3.350;nein;474;20-30%;2.331.304
30122002;Dudenstr. 35-37;Haus 02 ;10965;1.034;nein;475;20-30%;938.386
30398003;Hartmannsweilerweg 29;Haus 03 ;14163;931;nein;476;30-40%;1.202.308
30237003;Friedenstr. 31-32;Haus 03 ;10249;817;nein;477;> 60%;637.143
30429003;Kühleweinstr. 5;Haus 03 ;13409;3.689;nein;478;50-60%;3.089.744
30099001;Parkstr. 71;Haus 01 ;13086;3.719;ja;479;30-40%;1.535.542
30264001;Oderberger Str. 24,25;Haus 01 ;10435;2.095;ja;480;40-50%;1.148.990
30385001;Robert-von-Ostertag-Str. 2;Haus 01 ;14163;8.226;nein;481;20-30%;2.585.895
30381002;Alfredstr. 11;Haus 02 ;10365;3.857;ja;482;10-20%;942.385
30424001;Marktstr. 2-3;Haus 03 ;10317;7.700;ja;483;30-40%;3.385.656
30194016;Charlottenburger Chaussee 67,75;Haus 15 ;13597;382;nein;484;> 60%;317.239
30108004;Turmstr. 91;Haus 04 (C/D) ;10559;11.868;nein;485;20-30%;6.749.985
30209001;Moritzstr. 10;Haus 01a ;13597;6.961;nein;486;> 60%;3.864.180
30045001;Juliusstr. 67;Haus 01 ;12051;2.317;nein;487;50-60%;1.595.524
30075010;Turmstr. 21;Haus L ;10559;6.658;ja;488;30-40%;2.493.922
30195033;Friesenstr. 16;Haus 20a ;10965;410;ja;489;> 60%;366.557
30213013;Radelandstr. 21;Haus 10 ;13589;3.122;nein;490;50-60%;1.947.419
30192001;Bulgarische Str. 55;Haus 01 ;12435;4.969;nein;491;40-50%;2.693.862
30392002;Rheinsberger Str. 4-5;Haus 02 ;10115;3.001;ja;492;40-50%;1.747.478
30057001;Potsdamer Str. 186;Haus 01 ;10783;10.058;ja;493;30-40%;4.823.893
30349003;Friedrich-Olbricht-Damm 16;Verwaltung I ;13627;2.529;ja;494;40-50%;1.287.616
30151001;Gasteiner Str. 19-20;Haus 01 ;10717;3.721;ja;495;20-30%;895.733
30195016;Friesenstr. 16;Haus 09a ;10965;1.027;ja;496;30-40%;338.566
30346002;Lützowstr. 45;Haus 02;12307;955;nein;497;20-30%;298.578
30269001;Remstaler Str. 9;Haus 01 ;13465;520;nein;498;> 60%;262.588
30163001;Krampenburger Weg 1,3;Haus 01 ;12559;342;nein;499;> 60%;311.907
30420002;Darßer Str. 97;Haus 02 ;13051;5.157;nein;500;20-30%;2.925.793
30049001;Martin-Buber-Str. 20,21;Haus 01 ;14163;10.663;nein;501;40-50%;4.681.269
30146001;Borussiastr. 16,17;Haus 01 ;12103;3.050;nein;502;> 60%;2.162.021
30392005;Rheinsberger Str. 4-5;Haus 05 ;10115;1.867;nein;503;> 60%;989.038
30216054;Ruppiner Chaussee 240,268;Zoll-GKSt;13503;2.325;nein;504;50-60%;2.055.386
30053001;Nöldnerstr. 35;Haus 01 ;10317;6.373;nein;505;20-30%;3.877.509
30237001;Friedenstr. 31-32;Haus 01 ;10249;852;ja;506;30-40%;314.573
30208002;Mertensstr. 140;Haus 02 ;13587;1.089;nein;507;> 60%;778.434
30416004;Danckelmannstr. 25-28;Haus 04 ;14059;270;nein;508;40-50%;385.218
30156001;Hauptstr. 14;Haus 01 ;13159;503;ja;509;30-40%;159.952
30038001;Eichborndamm 208;Haus 01 ;13403;13.053;nein;510;40-50%;10.478.205
30428002;Schwyzer Str. 6-8;Haus 02 ;13349;726;nein;511;20-30%;702.457
30246001;Im Domstift 22;Haus 01 ;12309;1.274;nein;512;30-40%;626.480
30432002;Marzahner Chaussee 231;Haus 02 ;12681;1.401;nein;513;40-50%;1.482.224
30350007;Friedrich-Olbricht-Damm 17;Haus 07 ;13627;8.184;nein;514;30-40%;5.043.827
30171002;Rathausstr. 70,72;Haus 02 ;12105;1.133;ja;515;40-50%;635.810
30430001;Spandauer Damm 19;Haus 01 ;14059;3.274;ja;516;30-40%;1.512.882
30432001;Marzahner Chaussee 231;Haus 01 ;12681;7.880;nein;517;30-40%;6.628.687
30043001;Friedrichstr. 219;Haus 01 ;10969;23.483;nein;518;50-60%;11.082.024
30069001;Storkower Str. 97;Haus 01 ;10407;7.301;nein;519;20-30%;3.981.478
30410004;Buschallee 23a;Haus 04 ;13088;3.461;nein;520;20-30%;1.888.769
30125001;Goltzstr. 43-44;Haus 01 ;10781;1.423;ja;521;20-30%;563.832
30213003;Radelandstr. 21;Haus 03 ;13589;633;nein;522;> 60%;381.220
30195008;Friesenstr. 16;Haus 04b ;10965;272;ja;523;50-60%;290.580
30075007;Turmstr. 21;Haus H ;10559;1.453;ja;524;30-40%;629.145
30031001;Bismarckstr. 48;Haus 01 ;10627;18.635;ja;525;30-40%;10.944.732
30168004;Nikolaus-Groß-Weg 2;Haus 04 ;13627;1.133;nein;526;30-40%;1.324.938
30441001;Genslerstr. 66 ;Haus 01 ;13055;6.547;ja;527;50-60%;2.463.264
30350008;Friedrich-Olbricht-Damm 17;Haus 06 ;13627;664;nein;528;50-60%;563.832
30171001;Rathausstr. 70,72;Haus 01 ;12105;2.395;ja;529;40-50%;954.382
30413003;Erich-Weinert-Str. 103;Haus 03 ;10409;1.115;nein;530;20-30%;906.396
30414008;Gustav-Adolf-Str. 66;Haus 03 ;13086;1.059;nein;531;40-50%;929.056
30194010;Charlottenburger Chaussee 67,75;Haus 10 ;13597;490;nein;532;40-50%;558.500
30195046;Friesenstr. 16;Haus 41 ;10965;1.294;ja;533;40-50%;531.841
30177001;Selchowstr. 4;Haus 01 ;12489;752;nein;534;> 60%;451.865
30228001;Berliner Str. 16;Haus 01 ;13507;3.779;nein;535;50-60%;2.599.224
30245001;Idastr. 6;Haus 01 ;13156;2.221;nein;536;30-40%;1.384.920
30428003;Schwyzer Str. 6-8;Haus 03 ;13349;3.051;nein;537;30-40%;2.279.319
30240001;Betckestr. 13;Haus 01 ;13595;2.572;nein;538;20-30%;1.808.793
30349014;Friedrich-Olbricht-Damm 16;Kesselhaus ;13627;1.315;ja;539;30-40%;509.181
30282001;Wendenschloßstr. 348;Haus 01 ;12557;1.883;nein;540;> 60%;2.134.029
30285001;Wilhelm-von-Siemens-Str. 15;Haus 01 ;12277;3.497;nein;541;30-40%;2.385.954
30144001;Alt-Blankenburg 9;Haus 01 ;13129;881;ja;542;30-40%;339.899
30108005;Turmstr. 91;Haus 05 (E) ;10559;3.070;nein;543;40-50%;1.752.810
30039003;Fehrbelliner Platz;Haus 03 ;10707;9.108;ja;544;20-30%;2.064.717
30124001;Florastr. 13;Haus 01 ;12163;3.276;nein;545;30-40%;2.139.361
30037001;Auf dem Grat 2;Haus 01 ;14195;3.401;nein;546;50-60%;1.422.242
30155001;Hackbuschstr. 65;Haus 01 ;13591;921;nein;547;50-60%;734.447
30447007;Britzer Str. 5 ;Baracke 13 ;12439;906;ja;548;> 60%;698.458
30431003;Bismarckstr. 110 ;Haus 03 ;10625;1.325;nein;549;50-60%;823.754
30426015;Scharfenberg (Insel);Haus 15 ;13505;735;ja;550;30-40%;326.569
30062001;Salzburger Str. 21-25;Haus 01 ;10825;20.079;ja;551;20-30%;8.600.099
30242001;Hadlichstr. 37;Haus 01 ;13187;3.382;nein;552;> 60%;2.293.982
30196005;Gallwitzallee 87,95;Haus 05 ;12249;1.833;nein;553;30-40%;2.239.331
30261001;Mühlenweg 8;Haus 01 ;12589;276;nein;554;> 60%;227.932
30070001;Straßburger Str. 56;Haus 01 ;10405;4.359;nein;555;> 60%;3.284.353
30028001;An der Urania 4-10;Haus 01 ;10787;16.400;nein;556;50-60%;9.598.467
30180001;Waltersdorfer Str. 107;Haus 01 ;12526;669;nein;557;> 60%;406.545
30141001;Mehringdamm 110;Haus 01 ;10961;9.769;nein;558;20-30%;5.704.963
30216029;Ruppiner Chaussee 240,268;Haus 01 L ;13503;414;ja;559;40-50%;166.617
30266003;Pablo-Picasso-Str. 4;Haus 03 ;13057;1.380;nein;560;30-40%;1.042.355
30429002;Kühleweinstr. 5;Haus 02 ;13409;2.213;nein;561;40-50%;1.806.127
30408004;Straßmannstr. 14-16;Haus 04 ;10249;7.164;ja;562;30-40%;1.744.812
30236001;Frankenbergstr. 23;Haus 01 ;12589;391;nein;563;> 60%;233.264
30075009;Turmstr. 21;Haus K ;10559;9.284;ja;564;20-30%;3.841.520
30194003;Charlottenburger Chaussee 67,75;Haus 03 ;13597;5.041;nein;565;50-60%;2.844.484
30032001;Bredtschneiderstr. 5;Haus 01 ;14057;12.776;nein;566;50-60%;8.461.473
30128004;Immenweg 6-10;Haus 04 ;12169;816;nein;567;10-20%;457.197
30169001;Pölnitzweg 3,5;Haus 01 ;13125;895;nein;568;30-40%;486.521
30193016;Cecilienstr. 92;Haus 12 ;12683;644;nein;569;50-60%;522.511
