lfd.;Wirtschaftseinheit;Typ;Art der Wärmeversorgung;Wärmeverbrauch;Wärmeverbrauch Witterung;Stromverbrauch;gc_xwert;gc_ywert;gc_ortsteil
245;Pariser Platz 8 / Brandenburger Tor;Kultur ;Gas;39.230;43.769;64.035;13.3779;52.51651;Mitte
246;Parkaue 23-29 / Theater an der Parkaue;Kultur ;Fernwärme;1.375.330;1.534.465;309.321;13.47749;52.51656;Lichtenberg
247;Poststr. 13,14;Kultur ;Fernwärme;389.375;434.428;111.532;13.40687;52.51619;Mitte
248;Poststr. 16 / Ephraimpalais;Kultur ;Fernwärme;204.947;228.661;86.260;13.40724;52.51587;Mitte
249;Poststr. 23 / Knoblauchhaus;Kultur ;Fernwärme;68.389;76.302;29.553;13.40695;52.5164;Mitte
250;Prenzlauer Allee 80;Kultur ;Fernwärme;432.253;482.268;383.566;13.42786;52.54303;Prenzlauer Berg
251;Schloßstr. 1 A / Bröhan-Museum;Kultur ;Fernwärme;755.020;842.381;74.581;13.29533;52.51888;Charlottenburg
252;Schumannstr. 11-14 A / Deutsches Theater;Kultur ;Fernwärme;1.938.620;2.162.931;1.544.691;13.38145;52.52409;Mitte
253;Spandauer Damm 19;Kultur ;Fernwärme;531.013;592.455;24.148;13.29429;52.51911;Charlottenburg
254;Stresemannstr. 110 / Rosenbeet;Kultur ;n/a;;0;234.894;13.38195;52.5064;Kreuzberg
255;Stresemannstr. 29-31 / Hebbel am Ufer 1;Kultur ;Fernwärme;474.926;529.878;225.986;13.38729129;52.49997106;Kreuzberg
256;Thulestr. 77-79;Kultur ;Gas;462.693;516.230;75.027;13.42842;52.55624;Pankow
257;Tiergartenstr. 4;Kultur ;n/a;0;0;396.439;13.55995;52.47363;Biesdorf
258;Trebbiner Str. 8-9;Kultur ;Fernwärme;3.152.279;3.517.019;1.822.829;13.37679;52.49861;Kreuzberg
259;Wrangelstr. 2 / Schlosspark Theater;Kultur ;Fernwärme;221.350;246.961;158.104;13.31799;52.4549;Steglitz
260;Alemannenstr. 10;Polizei ;Gas;519.632;579.757;121.230;13.19493;52.4317;Nikolassee
261;Alt-Biesdorf 33;Polizei ;Gas;203.015;226.505;59.340;13.56192;52.50827;Biesdorf
262;Alt-Moabit 145;Polizei ;Gas;569.730;635.652;221.798;13.36602;52.52208;Moabit
263;Am Nordgraben 6,7,8;Polizei ;Fernwärme;1.165.074;1.299.881;193.277;13.32584;52.58725;Wittenau
264;Augustaplatz 7;Polizei ;Fernwärme;1.851.889;2.066.165;444.101;13.30637;52.44352;Lichterfelde
265;Baumschulenstr. 1;Polizei ;Fernwärme;173.422;193.488;161.990;13.49468;52.47136;Baumschulenweg
266;Bayernring 44;Polizei ;Fernwärme;844.549;942.269;138.793;13.38519;52.4815;Tempelhof
267;Berliner Allee 210;Polizei ;Gas;594.791;663.612;133.780;13.46711;52.55722;Weißensee
268;Berliner Str. 35;Polizei ;Fernwärme;653.140;728.712;124.983;13.28906;52.58246;Tegel
269;Bernhard-Weiß-Str. 6;Polizei ;Fernwärme;3.790.320;4.228.885;2.167.874;13.41662;52.52391;Mitte
270;Bismarckstr. 111;Polizei ;Fernwärme;376.796;420.394;162.348;13.31897;52.51213;Charlottenburg
271;Brunnenstr. 175;Polizei ;Gas;323.254;360.657;178.725;13.39875;52.53237;Mitte
272;Bulgarische Str. 55;Polizei ;Heizöl;407.700;454.874;158.346;13.47394;52.48154;Alt-Treptow
273;Cecilienstr. 92;Polizei ;Fernwärme;3.314.491;3.698.000;808.745;13.56209;52.52907;Biesdorf
274;Charlottenburger Chaussee 67,75;Polizei ;Fernwärme;9.392.759;10.479.563;2.792.590;13.22828;52.52779;Spandau
275;Friedenstr. 31-32;Polizei ;n/a;0;0;217.768;13.434;52.52246;Friedrichshain
276;Friesenstr. 16;Polizei ;Gas;10.795.314;12.044.404;3.234.933;13.39469;52.48585;Kreuzberg
277;Gallwitzallee 87,95;Polizei ;Gas;10.391.731;11.594.123;1.989.021;13.34754;52.4278;Lankwitz
278;Gothaer Str. 19;Polizei ;Fernwärme;1.947.956;2.173.347;541.648;13.34724;52.48865;Schöneberg
279;Götzstr. 6;Polizei ;Gas;626.705;699.219;165.136;13.38744;52.4645;Tempelhof
280;Grünauer Str. 140;Polizei ;Gas;1.615.108;1.801.987;266.713;13.56913;52.43534;Köpenick
281;Hadlichstr. 37;Polizei ;Gas;516.070;575.783;102.816;13.41506;52.56979;Pankow
282;Hauptstr. 45;Polizei ;Fernwärme;518.275;578.243;142.493;13.34994;52.48331;Schöneberg
283;Hauptstr. 8;Polizei ;Fernwärme;135.036;150.661;9.600;13.48642;52.49621;Lichtenberg
284;Heinrich-Grüber-Str. 35;Polizei ;Fernwärme;613.430;684.408;189.550;13.59154;52.51492;Kaulsdorf
285;Idastr. 6;Polizei ;Gas;241.754;269.727;68.943;13.41207;52.58386;Niederschönhausen
286;Invalidenstr. 57,58;Polizei ;Fernwärme;835.904;932.624;313.660;13.36189;52.52386;Moabit
287;Kaiserdamm 1;Polizei ;Fernwärme;1.362.664;1.520.333;330.280;13.29543;52.5111;Charlottenburg
288;Karlstr. 8;Polizei ;Fernwärme;116.597;130.088;133.724;13.57971;52.44241;Köpenick
289;Keithstr. 28;Polizei ;Fernwärme;1.336.370;1.490.997;260.299;13.34672;52.50455;Tiergarten
290;Koenigsallee 75;Polizei ;n/a;300.031;334.746;81.546;13.26185;52.47995;Grunewald
291;Königstr. 5;Polizei ;Gas;1.788.931;1.995.922;330.945;13.2542;52.43433;Zehlendorf
292;Kruppstr. 15;Polizei ;Fernwärme;272.265;303.768;149.690;13.35569;52.53195;Moabit
293;Kruppstr. 2-4;Polizei ;Fernwärme;9.970.422;11.124.066;1.680.107;13.35749;52.53303;Moabit
294;Lichtenrader Damm 211;Polizei ;Gas;356.979;398.284;153.830;13.40732;52.39421;Lichtenrade
295;Magazinstr. 5;Polizei ;Fernwärme;987.360;1.101.604;216.459;13.42015;52.51873;Mitte
296;Marktstr. 13;Polizei ;Gas;198.235;221.172;4.400;13.47243;52.50359;Lichtenberg
297;Mertensstr. 140;Polizei ;Gas;649.917;725.117;128.060;13.22473;52.56363;Hakenfelde
298;Moritzstr. 10;Polizei ;Gas;1.155.965;1.289.718;254.993;13.19986;52.53916;Spandau
299;Neues Ufer 1;Polizei ;Gas;140.483;156.738;81.540;13.31751;52.52205;Moabit
300;Nipkowstr. 23;Polizei ;Gas;175.650;195.973;44.415;13.55012;52.43667;Adlershof
301;Nöldnerstr. 35;Polizei ;Fernwärme;360.709;402.445;279.498;13.48453;52.50201;Lichtenberg
302;Pablo-Picasso-Str. 4;Polizei ;Fernwärme;884.680;987.043;173.553;13.51573;52.56622;Neu-Hohenschönhausen
303;Pankstr. 28;Polizei ;Fernwärme;1.615.998;1.802.980;719.239;13.37516;52.54811;Gesundbrunnen
304;Pionierstr. 160,204;Polizei ;Gas;145.703;162.562;7.453;13.16598;52.55642;Falkenhagener Feld
305;Poelchaustr. 1;Polizei ;Fernwärme;812.766;906.808;422.749;13.53864;52.53489;Marzahn
306;Radelandstr. 21;Polizei ;Gas;8.159.321;9.103.408;1.979.917;13.19204;52.55553;Falkenhagener Feld
307;Rudolstädter Str. 79,85;Polizei ;Fernwärme;934.943;1.043.122;277.471;13.30553;52.48557;Wilmersdorf
308;Ruppiner Chaussee 240,268;Polizei ;Gas;12.764.681;14.241.639;1.297.984;13.24473;52.61546;Heiligensee
309;Schmidt-Knobelsdorf-Str. 27;Polizei ;Fernwärme;240.388;268.202;100.921;13.18796;52.52222;Wilhelmstadt
310;Segelfliegerdamm 42;Polizei ;Fernwärme;322.602;359.929;132.164;13.50872;52.44341;Johannisthal
311;Sewanstr. 262;Polizei ;Fernwärme;292.062;325.856;76.350;13.51921;52.49438;Friedrichsfelde
312;Sonnenallee 107;Polizei ;Fernwärme;481.000;536.655;191.092;13.44064;52.48165;Neukölln
313;Tempelhofer Damm 12;Polizei ;Fernwärme;5.300.639;5.913.958;3.762.303;13.38554;52.48223;Tempelhof
314;Thomas-Dehler-Str. 4;Polizei ;Fernwärme;0;0;54.149;13.34788;52.50984;Tiergarten
315;Wackenbergstr. 81;Polizei ;Gas;132.680;148.032;30.282;13.41816;52.5876;Niederschönhausen
316;Wedekindstr. 10;Polizei ;Fernwärme;1.684.111;1.878.974;378.294;13.44476;52.5123;Friedrichshain
317;Zwickauer Damm 58;Polizei ;Gas;419.257;467.768;138.872;13.47768;52.41939;Rudow
318;Albrechtstr. 27;Schulen ;Fernwärme;122.821;137.032;7.850;13.3834;52.52406;Mitte
319;Allee der Kosmonauten 18;Schulen ;Fernwärme;259.401;289.416;197.205;13.51273;52.52345;Friedrichsfelde
320;Alt-Moabit 10;Schulen ;Fernwärme;1.186.992;1.324.335;571.617;13.35787;52.52391;Moabit
321;Alt-Stralau 40-41;Schulen ;Fernwärme;135.928;151.656;13.665;13.47384;52.49334;Friedrichshain
322;Am Fort 48 D;Schulen ;Gas;195.781;218.434;98.334;13.13608;52.52395;Staaken
323;Birkenstr. 11;Schulen ;Gas;1.407.591;1.570.458;197.527;13.60234;52.44659;Köpenick
324;Bismarckstr. 20;Schulen ;Fernwärme;1.214.985;1.355.567;194.627;13.31314;52.51239;Charlottenburg
325;Bochumer Str. 8;Schulen ;Fernwärme;1.262.008;1.408.031;244.442;13.33793;52.52311;Moabit
326;Buschallee 23a;Schulen ;Fernwärme;1.615.721;1.802.671;636.045;13.47572;52.55287;Weißensee
327;Cyclopstr. 1-7;Schulen ;Fernwärme;3.265.670;3.643.530;1.038.948;13.3273;52.59952;Wittenau
328;Dammweg 216;Schulen ;Fernwärme;200.444;223.637;48.539;13.46799;52.47236;Neukölln
329;Danckelmannstr. 25-28;Schulen ;Fernwärme;1.336.144;1.490.745;306.394;13.29117;52.51201;Charlottenburg
330;Darßer Str. 97;Schulen ;Fernwärme;1.072.883;1.197.023;286.827;13.49357;52.56474;Neu-Hohenschönhausen
331;Derfflinger Str. 7,8;Schulen ;Gas;2.124.825;2.370.681;25.078;13.3555;52.50327;Tiergarten
332;Driesener Str. 22;Schulen ;Gas;1.181.745;1.318.481;154.390;13.40567;52.55201;Prenzlauer Berg
333;Dudenstr. 35-37;Schulen ;Gas;1.489.489;1.661.833;356.284;13.38028;52.48468;Tempelhof
334;Erbeskopfweg 6-10;Schulen ;Gas;301.712;336.622;49.862;13.40037;52.59351;Rosenthal
335;Erich-Weinert-Str. 103;Schulen ;Fernwärme;1.352.308;1.508.779;425.566;13.43586;52.54595;Prenzlauer Berg
336;Fischerstr. 32;Schulen ;Fernwärme;347.930;388.188;59.557;13.48943;52.49897;Lichtenberg
337;Fischerstr. 36;Schulen ;Fernwärme;2.422.736;2.703.063;484.140;13.48703;52.5011;Lichtenberg
338;Florastr. 13;Schulen ;Gas;331.918;370.323;53.761;13.32873;52.46176;Steglitz
339;Fritz-Lesch-Str. 35;Schulen ;Fernwärme;1.782.239;1.988.456;789.709;13.47601;52.54557;Alt-Hohenschönhausen
340;Gierkeplatz 1,3;Schulen ;Fernwärme;1.028.944;1.148.000;279.087;13.30203;52.51683;Charlottenburg
341;Goldbeckweg 8-14;Schulen ;Gas;2.882.368;3.215.877;587.194;13.23022;52.54363;Haselhorst
342;Goltzstr. 43-44;Schulen ;Gas;111.262;124.136;14.595;13.35303;52.49144;Schöneberg
343;Gustav-Adolf-Str. 66;Schulen ;Fernwärme;1.755.861;1.959.026;769.923;13.44837;52.5594;Weißensee
344;Haarlemer Str. 27;Schulen ;Gas;2.195.696;2.449.753;1.179.999;13.45274;52.45768;Britz
345;Halemweg 24;Schulen ;Fernwärme;2.636.102;2.941.116;441.246;13.28804;52.53835;Charlottenburg-Nord
346;Hartmannsweilerweg 29;Schulen ;Gas;1.541.965;1.720.381;256.985;13.24888;52.44195;Zehlendorf
347;Helmholtzstr. 37;Schulen ;Fernwärme;898.975;1.002.992;252.613;13.50697;52.46632;Oberschöneweide
348;Hermann-Hesse-Str. 34,36;Schulen ;Gas;924.544;1.031.520;53.300;13.39581;52.57932;Niederschönhausen
349;Immenweg 6-10;Schulen ;Fernwärme;3.572.560;3.985.929;1.135.474;13.34578;52.45205;Steglitz
350;Klixstr. 6-7;Schulen ;Gas;473.584;528.381;124.036;13.35169;52.48874;Schöneberg
351;Kniprodestr. 27;Schulen ;Gas;1.134.829;1.266.136;167.825;13.44709;52.53526;Prenzlauer Berg
352;Kochstr. 9;Schulen ;Fernwärme;518.330;578.304;586.798;13.38869;52.50595;Kreuzberg
353;Kühleweinstr. 5;Schulen ;Gas;2.475.462;2.761.889;1.333.269;13.37067;52.56204;Reinickendorf
354;Leinestr. 37-45;Schulen ;Fernwärme;794.000;885.871;132.169;13.42346;52.47263;Neukölln
355;Levetzowstr. 3,5;Schulen ;Gas;1.666.806;1.859.667;207.703;13.3317;52.52186;Moabit
356;Lippstädter Str. 9-11;Schulen ;Gas;1.683.549;1.878.347;304.686;13.30557;52.41139;Lichterfelde
357;Lipschitzallee 25;Schulen ;Fernwärme;1.878.352;2.095.690;14.954;13.47306;52.42974;Gropiusstadt
358;Lobeckstr. 76;Schulen ;Fernwärme;2.069.770;2.309.256;519.299;13.40319;52.49911;Kreuzberg
359;Loschmidtstr. 19;Schulen ;Fernwärme;515.124;574.727;77.845;13.31295;52.51734;Charlottenburg
360;Mandelstr. 6-8;Schulen ;Fernwärme;719.834;803.124;118.152;13.44136;52.54571;Prenzlauer Berg
361;Marktstr. 2-3;Schulen ;Gas;820.987;915.981;114.616;13.47485;52.50294;Lichtenberg
362;Marzahner Chaussee 231;Schulen ;Fernwärme;833.606;930.060;111.035;13.53317;52.53028;Marzahn
363;Naglerstr. 1-3;Schulen ;Fernwärme;970.349;1.082.625;170.974;13.4496;52.50223;Friedrichshain
364;Nauener Str. 13 (ehm. Altonaer Str. 104);Schulen ;Heizöl;99.969;111.536;7.788;13.18144;52.53367;Spandau
365;Niederwallstr. 6,7;Schulen ;Fernwärme;265.345;296.047;82.400;13.39829;52.51266;Mitte
366;Nonnendammallee 140-143;Schulen ;Fernwärme;3.282.380;3.662.173;1.047.683;13.24308;52.5391;Haselhorst
367;Oschatzer Ring 13;Schulen ;Fernwärme;40.541;45.232;12.660;13.61434;52.54178;Hellersdorf
368;Osloer Str. 23-26;Schulen ;Gas;1.869.406;2.085.709;489.033;13.38029;52.5572;Gesundbrunnen
369;Ostpreußendamm 40;Schulen ;Gas;597.137;666.230;95.975;13.31704;52.4303;Lichterfelde
370;Pappelallee 30-31;Schulen ;Gas;381.703;425.869;50.900;13.4174;52.5454;Prenzlauer Berg
371;Persiusstr. 7-9;Schulen ;Fernwärme;325.875;363.581;15.150;13.46221;52.50121;Friedrichshain
372;Peter-Weiss-Gasse 8;Schulen ;Fernwärme;615.517;686.736;177.181;13.60789;52.53859;Hellersdorf
373;Pfalzburger Str. 22,23;Schulen ;Fernwärme;615.544;686.767;73.883;13.32174;52.49385;Wilmersdorf
374;Pfalzburger Str. 30;Schulen ;Fernwärme;702.793;784.111;253.983;13.32107;52.49094;Wilmersdorf
375;Prinzregentenstr. 32,35;Schulen ;Fernwärme;697.802;778.542;150.039;13.33293;52.48364;Wilmersdorf
376;Prinzregentenstr. 60;Schulen ;Fernwärme;1.042.406;1.163.019;250.214;13.3335;52.48237;Wilmersdorf
377;Rheinsberger Str. 4-5;Schulen ;Gas;1.281.017;1.429.240;65.297;13.3956;52.53664;Mitte
378;Rudower Str. 184;Schulen ;Gas;1.747.708;1.949.929;729.453;13.47512;52.43021;Buckow
379;Scharfenberg (Insel);Schulen ;Gas;2.173.101;2.424.543;259.063;13.24690145;52.57410782;Tegel
380;Schillerstr. 120;Schulen ;Fernwärme;709.728;791.848;279.093;13.31875;52.51076;Charlottenburg
381;Schwyzer Str. 6-8;Schulen ;Fernwärme;1.373.300;1.532.200;905.055;13.35344;52.55765;Wedding
382;Steinmetzstr. 79;Schulen ;Fernwärme;907.951;1.013.007;57.414;13.36466;52.49897;Schöneberg
383;Straßmannstr. 14-16;Schulen ;Fernwärme;947.658;1.057.308;173.023;13.4485;52.52166;Friedrichshain
384;Teltower Damm 87-101 (ungerade);Schulen ;Gas;8.161.947;9.106.339;1.077.075;13.26191;52.42575;Zehlendorf
385;Wollenbergerstr. 1;Schulen ;Fernwärme;209.430;233.662;1.163.112;13.511;52.54677;Alt-Hohenschönhausen
386;Wrangelstr. 98;Schulen ;Fernwärme;3.159.390;3.524.952;473.323;13.43659;52.50096;Kreuzberg
